Title,Company,Reward,Link
광고플랫폼 Back-End 개발자,티오더,합격보상금 100만원,https://www.wanted.co.kr//wd/364716
로보어드바이저 IRP 시스템 개발 및 운영,에이아이콴텍,합격보상금 100만원,https://www.wanted.co.kr//wd/378203
백엔드/서버 개발자,이글로벌시스템,합격보상금 100만원,https://www.wanted.co.kr//wd/99189
FHIR/의료데이터 플랫폼 개발자,카카오헬스케어,합격보상금 100만원,https://www.wanted.co.kr//wd/376495
[인턴] 서버 개발자,크레바스에이아이,합격보상금 100만원,https://www.wanted.co.kr//wd/377832
연동 개발자 (신입),누아,합격보상금 100만원,https://www.wanted.co.kr//wd/250255
PoC Engineer,라피치,합격보상금 100만원,https://www.wanted.co.kr//wd/372548
백엔드 개발자,인피니티익스체인지코리아,합격보상금 100만원,https://www.wanted.co.kr//wd/380508
Senior Machine Learning Engineer,몰로코,합격보상금 100만원,https://www.wanted.co.kr//wd/336275
[신입] 백엔드/서버 개발자,이글로벌시스템,합격보상금 100만원,https://www.wanted.co.kr//wd/182714
[채널톡] Software Engineer,채널코퍼레이션,합격보상금 100만원,https://www.wanted.co.kr//wd/222071
REST API 서버 개발자,몰덴아이,합격보상금 100만원,https://www.wanted.co.kr//wd/171849
[H-Care] SaaS / 백엔드 엔지니어,휴로틱스,합격보상금 100만원,https://www.wanted.co.kr//wd/346144
R&D 개발 파트 AI/데이터 플랫폼 실무자,세명소프트,합격보상금 100만원,https://www.wanted.co.kr//wd/378704
Senior Backend Engineer (7년 이상),엘지유플러스볼트업,합격보상금 100만원,https://www.wanted.co.kr//wd/378946
[공비서] 백엔드 엔지니어링 매니저 (8년이상~),헤렌,합격보상금 100만원,https://www.wanted.co.kr//wd/373691
[바디코디] Senior Backend Engineer,레드블루,합격보상금 100만원,https://www.wanted.co.kr//wd/373605
글로벌 해운선사IT솔루션 ITO업무 및 차세대 솔루션 도입/API개발,싸이버로지텍,합격보상금 100만원,https://www.wanted.co.kr//wd/267101
DevOps 엔지니어,카카오뱅크(kakaobank),합격보상금 100만원,https://www.wanted.co.kr//wd/359731
백엔드 개발자,핀다(FINDA),합격보상금 100만원,https://www.wanted.co.kr//wd/380102
글로벌 금융 IPO 데이터 파이프라인 및 백엔드 개발자,아이알큐더스,합격보상금 100만원,https://www.wanted.co.kr//wd/369107
커머스플랫폼유닛 Back-end,씨제이올리브영(CJ올리브영),합격보상금 100만원,https://www.wanted.co.kr//wd/337437
백엔드 개발자 (Software Engineer),핵클(Hackle),합격보상금 100만원,https://www.wanted.co.kr//wd/51700
Cloud Security & Tech Leader,여기어때컴퍼니,합격보상금 100만원,https://www.wanted.co.kr//wd/363433
[토스인슈어런스] Server Developer(Finance),비바리퍼블리카(토스),합격보상금 100만원,https://www.wanted.co.kr//wd/377225
Software Engineer,메이크스타,합격보상금 100만원,https://www.wanted.co.kr//wd/262596
프로덕트 엔지니어 ( 백엔드 ),에이아이구루,합격보상금 100만원,https://www.wanted.co.kr//wd/367438
[FDE] Forward Deployed Engineer,포트로직스,합격보상금 100만원,https://www.wanted.co.kr//wd/376783
백엔드 개발자,청림인베스트,합격보상금 100만원,https://www.wanted.co.kr//wd/363967
AI 운영원(AI Ops 엔지니어),미래에셋생명,합격보상금 100만원,https://www.wanted.co.kr//wd/380602
AI Engineer (4년 이상),모비두(소스라이브),합격보상금 100만원,https://www.wanted.co.kr//wd/376203
Backend Engineer,스마트푸드네트웍스,합격보상금 100만원,https://www.wanted.co.kr//wd/369864
스마트 물류 Back-end 개발자 (계약직),미트박스글로벌,합격보상금 20만원,https://www.wanted.co.kr//wd/375877
백엔드 개발자 (5년 이상),알피(ARPI),합격보상금 100만원,https://www.wanted.co.kr//wd/380393
