Title,Company,Reward,Link
시니어 프론트엔드 엔지니어,엘리스,합격보상금 100만원,https://www.wanted.co.kr/wd/229818
프론트엔드 엔지니어,엘리스,합격보상금 100만원,https://www.wanted.co.kr/wd/229817
풀스택 엔지니어,한국공간데이터,합격보상금 100만원,https://www.wanted.co.kr/wd/356733
커머스플랫폼유닛 Front-end,씨제이올리브영(CJ올리브영),합격보상금 100만원,https://www.wanted.co.kr/wd/337438
[삼양식품] AI 백엔드 개발자,삼양식품,합격보상금 100만원,https://www.wanted.co.kr/wd/349866
Applied AI Engineer,모티프테크놀로지스,합격보상금 100만원,https://www.wanted.co.kr/wd/349007
Product Engineer(FE),메라키플레이스,합격보상금 100만원,https://www.wanted.co.kr/wd/342387
Front-end 개발자 (7년 이상),아파트아이,합격보상금 100만원,https://www.wanted.co.kr/wd/371924
클라이언트 개발자(Electron),스튜디오키코,합격보상금 100만원,https://www.wanted.co.kr/wd/365095
풀스택 개발자 (개발팀),룰루랩(lululab),합격보상금 100만원,https://www.wanted.co.kr/wd/371490
"[서비스개발센터] 프론트엔드 개발자 (6년 이상, 대리급)",동아사이언스,합격보상금 100만원,https://www.wanted.co.kr/wd/378191
System Module Engineer,셀틱스테크놀로지,합격보상금 100만원,https://www.wanted.co.kr/wd/351130
[계약직][AI Native EHR] Front-End Engineer,카카오헬스케어,합격보상금 20만원,https://www.wanted.co.kr/wd/364864
Frontend Engineer,스캐터랩(Scatterlab),합격보상금 100만원,https://www.wanted.co.kr/wd/347680
AI 네이티브 프로덕트 디자이너,인포그랩,합격보상금 100만원,https://www.wanted.co.kr/wd/368610
SM 사업 관리 및 유지보수 담당자 (계약직),카카오뱅크(kakaobank),합격보상금 20만원,https://www.wanted.co.kr/wd/357048
AI Native QA Engineer,위펀(스낵24),합격보상금 100만원,https://www.wanted.co.kr/wd/360029
슈퍼로이어 프론트엔드 개발자 (5년 이상),로앤컴퍼니(lawtalk),합격보상금 100만원,https://www.wanted.co.kr/wd/369552
풀스택 개발자,다온더케어,합격보상금 100만원,https://www.wanted.co.kr/wd/368206
"[전문연구요원 가능] 로봇 / 물류 자동화 플랫폼 개발 (웹개발, nodejs)",랩투마켓,합격보상금 100만원,https://www.wanted.co.kr/wd/372864
팜모닝 Product Engineer,그린랩스,합격보상금 100만원,https://www.wanted.co.kr/wd/375380
풀스택 개발팀장,이디피랩,합격보상금 100만원,https://www.wanted.co.kr/wd/212945
FDE팀 Frontend Engineer (3년 이상),로앤컴퍼니(lawtalk),합격보상금 100만원,https://www.wanted.co.kr/wd/377798
Full stack Software Developer,셀틱스테크놀로지,합격보상금 100만원,https://www.wanted.co.kr/wd/373231
개발 리드 (Tech Lead),아이들랩,합격보상금 100만원,https://www.wanted.co.kr/wd/179315
AI Back-End / Bigdata 엔지니어,제로원에이아이,합격보상금 100만원,https://www.wanted.co.kr/wd/166683
LLMOps Ops / AI 모델 개발 엔지니어,제로원에이아이,합격보상금 100만원,https://www.wanted.co.kr/wd/166685
로보어드바이저 IRP 시스템 개발 및 운영,에이아이콴텍,합격보상금 100만원,https://www.wanted.co.kr/wd/378203
Front-End 엔지니어,제로원에이아이,합격보상금 100만원,https://www.wanted.co.kr/wd/166679
프론트엔드 개발자,아타드(ATAD),합격보상금 100만원,https://www.wanted.co.kr/wd/380606
로보어드바이저 IRP 시스템 개발 및 운영,콴텍,합격보상금 100만원,https://www.wanted.co.kr/wd/378204
Software Engineer,솔로몬랩스,합격보상금 100만원,https://www.wanted.co.kr/wd/331555
AI Innovation 그룹 개발자,에스케이스피드메이트,합격보상금 20만원,https://www.wanted.co.kr/wd/376865
시니어 프론트엔드 개발자 (5년 이상),바딧,합격보상금 100만원,https://www.wanted.co.kr/wd/377326
Product Engineer(BE),메라키플레이스,합격보상금 100만원,https://www.wanted.co.kr/wd/342402
[AX] Product Engineer,인티그레이션(메디스트림),합격보상금 100만원,https://www.wanted.co.kr/wd/363150
글로벌 금융 IPO 데이터 파이프라인 및 백엔드 개발자,아이알큐더스,합격보상금 100만원,https://www.wanted.co.kr/wd/369107
[채널톡] Software Engineer,채널코퍼레이션,합격보상금 100만원,https://www.wanted.co.kr/wd/222071
[트웬티] 시니어 프로덕트 엔지니어,본투비,합격보상금 100만원,https://www.wanted.co.kr/wd/372852
Product Engineer (Frontend),스탯,합격보상금 100만원,https://www.wanted.co.kr/wd/378192
백엔드 개발자,몰리턴,합격보상금 100만원,https://www.wanted.co.kr/wd/315866
"Frontend Engineer (MLOps, Vision AI Platform)",아이벡스,합격보상금 100만원,https://www.wanted.co.kr/wd/363913
AI-Native Full Stack Engineer,언엑스,합격보상금 100만원,https://www.wanted.co.kr/wd/380162
풀스택 개발자,밀레니얼웍스,합격보상금 100만원,https://www.wanted.co.kr/wd/379531
개발자,포밸류소프트,합격보상금 100만원,https://www.wanted.co.kr/wd/371489
시니어 소프트웨어 엔지니어,에이더엑스,합격보상금 100만원,https://www.wanted.co.kr/wd/371391
